# stwo-zig typed-air compat-v1 family manifests v1
family	bytes	manifest_sha256	source_schedule_sha256	semantic_sha256	layout_sha256	direct_runtime_sha256	lookup_runtime_sha256	degree_sha256	formal_sha256	main_columns	direct_constraints	lookup_events	interaction_batches	formal_exports	max_direct_degree	max_interaction_degree
base_alu_reg	11866	8dca33d4880389fd34af1c9a99b25adf5e1a9ffa7b271f0c25b7dc4014aa83fd	9244db60bbb01c76ca338dfcd7e83875c0f6ee0292d38bf0252fb218ae8c45a0	39383f6a81f3ce28fb5103cb43d9a4abed2e465fd4ed5ba700d8f78d9b1f1bde	7bb0555a01e02cdfb0572760cb2979904aa83dd58f115b9f4cbe3ef4c9e54fd4	694422b7729d2382ed7f8a6322db79390e25df0bad97b7eab66e555a150e7633	1f5628da666f58405a5d0829fa18088b36ac2b775e68737a64eb4bef039afc1f	91ac73fd9c3414b1df0904bb581536b9a6230220beacbfa48c35f30477cea27e	993ef0b40530a25c4d6e31dd9168c78a001f33a5402b1a04d6e54c885bf40dad	35	22	18	9	5	3	3
base_alu_imm	11087	15a552d8ee6175c2ec287be490c8e43cf307128212bce360d86ee08a8d525a64	2e680ac59efadf7678148ec8ed43b8d614facc53068f2c6c3bfe35de6e93e0c7	e89d5e9ec616498429c204cc0ddf4193ed61a4128ca7db2da4a71337b6784ad0	4a45fa3dff42b4c9b983b80c6e37e75e5de425b823bd7e8ccf2487a82c116da4	c4c5905ddead0ebb7f2e58f28cdb1051afa617d904d601e775bf41ffcd7e5828	a7594022c1eff7e77f87318f7d34839ab0617e2b32584157a956f61b5dd64d8c	05d46fac4ce18f1adeb57b0a05545eb32a2d5c93be5d8fa753df3b8f01f6d7d5	cea86053863786d2c6dd0780ccb9a961a14d7ac083dade78e79529a6c85f70f6	35	22	16	8	4	3	3
shifts_reg	20879	81ccd3aa196d5756e07813fd7d4aeb6fb1b3652167e0b05839ebf8d7b04aab04	356255bd6630059579a032d6c4fb18530407a9e86d3bb8ac195a9ae0f9cf4cd9	6505758e89b9b14117156e6412aa8bae4a5cfc556a2f4ef12ccfa9e8b895c7a0	094ee9a26922f94439834708f31aabca912c60510f269843ff07f0d03f743c3b	404338da76bc5ab57540097e93f14314f079d411de5ee8f4e75d1accc3b9dcd6	44ae9c505bd4700f8b0f4408dea4b011e1b5060d57acf4ed6465a3267b3fba93	c4f1742de5c338a93110bea52d5004671671dc2538dbc2b88f309e7850115267	b43e852664af0c97019fbf93b15661daf162501642898f85939912f226f01d5d	60	70	20	10	3	3	3
shifts_imm	18792	b73244a834d7b343206f5c293058919d2cbaf7e61020aab7822625dc4e59e835	f98758a34177b2c43181d7792a35bf42a79b2712755c3b679857e5a223cfe589	42b3e513e600c9a46bcd3735880796f9011b63526f8730f10d27a8a00e4cf448	36529c1768f6a6df9a9858a835304459ad7ef0a5aab8a6fc5d8e37845a568ac3	25cd1e6d20973fffac000f4c60e914ecf4d1ed71b933691b43b672e74f9d7f9d	6a11bbab0f9a26c0d9f2522d65c4690c19a3701998b10f2d97b88ed4c2c58bcd	044971aceb39632bd052f834b9421e76c8d5d2c3741038d86c85d95cc81dff30	f83aca3a7b07936f3cc99496cf7ab48b9dbdeeb9b039352a8630fa5fa5d2efd6	51	67	16	8	3	3	3
lt_reg	12196	803f84d31059debfd80115cfb3925393d1621a24a01426f1d0f2d1f4848f562f	666adef5551fa158076f4ccbeae54bed852aed80bb931ac5dbce589d106d7595	ed8a5115320fb805973f846175f2b69adb1a49b7c0233a7a258309854693e6c3	d3357b66643761d97181a5c48ed5838ca607d422da04e6d081214175c4d3fd27	0d49f47be5e19e8406edbfdbb326ace73e75fb3aff1cc5957241107e28ba0eff	414b87803f96caa1a00167a59d7ab9e802f96227939eea0cdcfd407d8ff81558	dd17d52191cf650d0f98e6ea6e2864bf20e4b1b51916affcdec798a864dd6217	0653d05ae00881358073776e8969154b684bc4ec8ec8868ab90a9d659b44aff0	44	36	14	7	2	3	3
lt_imm	10763	f6541e8327896e85e0808752d40f198b31cf1397f4c8bb9ee691acb375da814c	3c5d9e8c507405224c6d7da843adaa2c57851eb9553211a598e92177466d8b47	46a36446e9335d1efd1c22d79f521e32c1c18f0d3b66da7affa77080fb240b17	252bc19dd484a8223d1d1cd1a5fd733ddfa45af990dcb46f283f3e14118bd4b3	b37e5b3c42406955434ffc328680135bcbe2cb176e3e6de13f8c78fbeac6ee77	190652539973ef15217f9a60e5ff663498ecd8910cea9f44d10d80b15821b515	28bed809d1847dd4fb45bdc5335ebf8ac16e44fd16f8bba882eddcf1a9266a05	d54425ba4673d2d6d8d79dadac6327f5906818aee9d0beab22b33a760c38cbb7	37	33	11	6	2	3	3
branch_eq	8009	f1aab427b9e215fe4d1f84a14044cb197231c3811bab146e66c98a26d49a56e0	7be33771edebb42b5e293f90d715833b83cbec2979f098cd9759299f62b227b2	4faba2dcf706d96ef2219abcde8f1fa51efb7beb286a1d4582421530100d0403	6911454844b6984440e29262984b5fc4d78104219eb8ed498e9030c3e427ca5d	a6fee1cef0352c547e5195572bfb19268e1ae1c71c63cfdb2078e5db80ba0adc	285f7eec830569d48cd362ddd4edef3defc2e5ce6991094f60b847d1310d481b	d2a28500e786a3129afab4d8bb3021a4952dcbad2df6ee1c1c5395a7f2d1d9d2	f1bab379ab205dd2f44d5a1b37abf0ec3de58b5202c071d64145507a651ea73e	30	18	9	5	2	3	3
branch_lt	11003	18f05bd2e4e13194ab2efb82721f9d63df25474858057912e462068d45cafa9d	ac2750f7da71e109bb708928169b46f384cce6c6fcb44be8ff1d29f6fa4b49ae	6fb8e2452690a5a0e244f9bb5ee694336b046fa685f48e1530fbee03c3e7332f	d76ec52a9d87d62f183fb46f5c0af84ffe4e9c1138e35afc7f287f46e1ea4979	d0cc4edfd7ad62f132ffbe897fc3de4ff0731f7378196a0f871474ed7e651402	bcb483bc96180ab3b42040468e2e84ffd1e542bf1f26c8da683ca1e2b56c37e8	2f260378f50fd033ce596165c5c49294a5dc411351c722befefb5e25f3073f5d	7f1e582aefab63d5c64ee93486ffd9b08801428237646bb3ea589d3423881d81	37	33	11	6	4	3	3
lui	5271	fcc890a4d3778040aee64caac082580d3fb49aaa1519715347a500be26b4f9bf	a59ee55ad20e87c7052a018b46723c03b1e560dacb60e4a3d71fb2b0afde07f8	29e8002e7e0ab504b386198da47e8365fdf99336518d511f0e023a89db721f2b	02a4a74bd3fdd9e649e268aac745e06e7dad1a730317e67497e39bc41c6bb237	f937d4f52b08ec961af142b7278766f7997218e261560e7389a7295ad8ac3ee1	75fed04617bb286ec86cfb0a1fbbb8f86e47a6be80c1d335b3f44dce47bbf3fa	c719ac8dff0e1ebf41f3ea8abb62892ae4b2a6e657316e8ee44627a27c0bd4b1	70b0a3048dd72422d96613d4232ec65241b118e00d0fe7fed0e2170e2c8fcdd4	18	9	7	4	1	2	3
auipc	8398	61f96fb360338f8ca2ad8dcea33fb3941229fde598ab40347e046ca97ad2e724	f7fa990032c9c036eb11104772900aecda114cd349cdf4ed0e198c8536b9e912	15a05617a6afe58ad7f30b74f8ed98486ddd2f3d5401ae3f4f0097c2f81ab896	490e68f406dae7f806d7ff34a70ec5fb785ebf4a740dd7d31fd57fb2b5ceed0e	6ef4db662448045de858ef2b079e8a003b1a004291831855a58d620c933ee709	c10e7b47a5513fc1f105bfa3ebadd6cd663c29d2ce370f82eb6ea3efb45cadf1	edde18bd0fbb3bba01f1086017cccd3177530bedd197a2dd99bb2740222aa0ff	6d5a971f5b88dfa93833847d1822e7141aec6a2a9884fbc640b56b04e28906fa	29	17	12	6	1	2	3
